ID	Marker	Info
1688745542738674	IL6 ENSG00000136244	Müller cells
1688745542738674	CNR2 ENSG00000188822	Müller cells
1688745542738674	VEGFA ENSG00000112715	Müller cells
1688745542738674	SLC38A5 ENSG00000017483	Müller cells
1688745542738674	SLC38A3 ENSG00000188338	Müller cells
1688745542738674	IL33 ENSG00000137033	Müller cells
1688745542738674	RDH10 ENSG00000121039	Müller cells
1688745542738674	SLITRK2 ENSG00000185985	Müller cells
1688745542738674	SYNPR ENSG00000163630	Müller cells
1688745542738674	CROT ENSG00000005469	Müller cells
1688745542738674	CRYM ENSG00000103316	Müller cells
1688745542738674	COL9A1 ENSG00000112280	Müller cells
1688745542738674	DAPL1 ENSG00000163331	Müller cells
1688745542738674	AQP4 ENSG00000171885	Müller cells
1688745542738674	RLBP1 ENSG00000140522	Müller cells
1688745542738674	DKK3 ENSG00000050165	Müller cells
1688745542738674	VSX2 ENSG00000119614	Müller cells
1688745542738674	COL1A1 ENSG00000108821	Müller cells
1688745542738674	COL2A1 ENSG00000139219	Müller cells
1688745542738674	COL3A1 ENSG00000168542	Müller cells
1688745542738674	COL4A2 ENSG00000134871	Müller cells
1688745542738674	COL5A1 ENSG00000130635	Müller cells
1688745542738674	COL6A1 ENSG00000142156	Müller cells
1688745542738674	COL11A1 ENSG00000060718	Müller cells
1688745542738674	GLUL ENSG00000135821	Müller cells
1688745542738674	CLU ENSG00000120885	Müller cells
1688745542738674	S100A16 ENSG00000188643	Müller cells
1688745542738674	SOX2 ENSG00000181449	Müller cells
1688745542738674	APOE ENSG00000130203	Müller cells
1688745542738674	DBI ENSG00000155368	Müller cells
1688745542738674	GNAI2 ENSG00000114353	Müller cells
1688745542738674	GPR37 ENSG00000170775	Müller cells
1688745542738674	KCNJ2 ENSG00000123700	Müller cells
1688745542738674	KCNJ10 ENSG00000177807	Müller cells
1688745542738674	SPC25 ENSG00000152253	Müller cells
1688745542738674	ITM2B ENSG00000136156	Müller cells
1688745542738674	ATG4B ENSG00000168397	Müller cells
1688745542738674	CA2 ENSG00000104267	Müller cells
1688745542738674	ZBED4 ENSG00000100426	Müller cells
1688745542738674	PRDX6 ENSG00000117592	Müller cells
1688745542738674	PRX ENSG00000105227	Müller cells
1688745542738674	SLC1A3 ENSG00000079215	Müller cells
1688745542738674	HES1 ENSG00000114315	Müller cells
1688745542738674	KIT ENSG00000157404	Müller cells
1688745542738674	CRB1 ENSG00000134376	Müller cells
1688745542738674	ANXA4 ENSG00000196975	Müller cells
1688745542738674	CD44 ENSG00000026508	Müller cells
1688745542738674	GSTM5 ENSG00000134201	Müller cells
1688745542738674	SLC6A1 ENSG00000157103	Müller cells
1688745542738674	SFTPA1 ENSG00000122852	Müller cells
1688745542738674	RCVRN ENSG00000109047	Photoreceptor cells
1688745542738674	PDC ENSG00000116703	Photoreceptor cells
1688745542738674	NRL ENSG00000129535	Photoreceptor cells
1688745542738674	NR2E3 ENSG00000278570	Photoreceptor cells
1688745542738674	SAG ENSG00000130561	Photoreceptor cells
1688745542738674	RHO ENSG00000163914	Photoreceptor cells
1688745542738674	ROM1 ENSG00000149489	Photoreceptor cells
1688745542738674	CRX ENSG00000105392	Photoreceptor cells
1688745542738674	PDE6G ENSG00000185527	Photoreceptor cells
1688745542738674	TPBG ENSG00000146242	Photoreceptor cells
1688745542738674	GABRA1 ENSG00000022355	Photoreceptor cells
1688745542738674	PCBP3 ENSG00000183570	Photoreceptor cells
1688745542738674	FRMD3 ENSG00000172159	Photoreceptor cells
1688745542738674	ADAMTS5 ENSG00000154736	Photoreceptor cells
1688745542738674	RD3L ENSG00000227729	Photoreceptor cells
1688745542738674	GABRG2 ENSG00000113327	Photoreceptor cells
1688745542738674	CNTN4 ENSG00000144619	Photoreceptor cells
1688745542738674	RNF152 ENSG00000176641	Photoreceptor cells
1688745542738674	SYNE1 ENSG00000131018	Photoreceptor cells
1688745542738674	SEBOX ENSG00000274529	Photoreceptor cells
1688745542738674	HSPA12A ENSG00000165868	Photoreceptor cells
1688745542738674	CNTNAP2 ENSG00000174469	Photoreceptor cells
1688745542738674	NLK ENSG00000087095	Photoreceptor cells
1688745542738674	NTNG1 ENSG00000162631	Photoreceptor cells
1688745542738674	GLS ENSG00000115419	Photoreceptor cells
1688745542738674	STX3 ENSG00000166900	Photoreceptor cells
1688745542738674	GRM6 ENSG00000113262	Photoreceptor cells
